Game,Region,Game ID,Format,Emulator/Core,Device,Hardware Revision,TreeFrogUI Version,Performance,Audio,Graphics,Status,Required Settings,Notes,Reported By
Gran turismo 2,PAL,SCES-02380,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Grand Theft Auto 2,PAL,SLES-02224,ISO,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"I haven't had any problems with this PS1 GTA.",MartStartIV
HELLNIGHT,PAL,SLES-01562,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Regular,Good,Playable,Global default,"good performance",MartStartIV
Pro evolution Soccer 2,PAL,SLES-03957,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Some slight FPS stutters",MartStartIV
Italian JOB The,PAL,SLES-03626,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Regular,Playable with Issues,Yes,"The in-game AI practically doesn't work with PCSX4All.",MartStartIV
Legend of dragoon ,PAL,SCES-03043,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Lucky Luke,PAL,SLES-00943,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Medal of honor,PAL,SLES-02470,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Adequate in-game performance",MartStartIV
Medal of honor - Underground,PAL,SLES-03124,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Adequate in-game performance",MartStartIV
Medievil 1,PAL,SCES-01495,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Localized FPS drops in the game",MartStartIV
Medievil 2,PAL,SCES-02545,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Localized FPS drops in the game",MartStartIV
Mega Man Legends,USA,SLUS-00603,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Regular,Good,Playable with Issues,Global default,"The game speeded up, but it remained playable.",MartStartIV
MegaMan X4,PAL,SLES-01176,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Men in black the game,PAL,SLES-01047,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"good performance",MartStartIV
Men in black The Series crashdown,PAL,SLES-03519,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"good performance",MartStartIV
Metal Gear Solid,PAL,SCES-01509,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Perfect,Good,Playable,Global default,"It's a pretty well-liked game, but it runs quite well with TreeFrogUI ​​(pcsx4all).",MartStartIV
Metal Gear Solid - Special Missions,PAL,SLES-02136,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
MGG - Manic game girl,NTSC-J,SLPM-88501,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Perfect,Global default,"good performance",MartStartIV
Mizzurna Falls,NTSC-J,SLPS-01783,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Moolight Syndrome,NTSC-J,SLPS-01001,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"expected result (good performance)",MartStartIV
Mortal Kombat Mythologies,PAL,SLES-00543,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"expected result (good performance)",MartStartIV
Nascar Thunder 2004,USA,SLUS-01569,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"For the last NASCAR game on the PS1, it runs quite well.",MartStartIV
Need For Speed - High Stakes,USA,SLUS-00826,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Regular,Good,Playable with Issues,Global default,"There are FPS drops.",MartStartIV
Need For Speed Porsche 2000,PAL,SLES-02700,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Need For Speed 3,PAL,SLES-01140,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Good,Playable with Issues,Yes,"A significant drop in FPS is expected in certain areas.",MartStartIV
Overblood 2,PAL,SLES-01879,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"Low graphics resolution but stable.",MartStartIV
Pac-Man World 20TH Anniversary,PAL,SCES-00934,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Perfect,Global default,"good performance",MartStartIV
Parasite eve 1,USA,SLUS-00662,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Parasite eve 2,PAL,SLES-02559,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Yes,"A very good game with some graphical issues; enable the (RCntFix) option.",MartStartIV
Doom,PAL,SLES-00132,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Perfect,Global default,"good performance",MartStartIV
Rapid Racer,PAL,SCES-00780,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Regular,Good,Playable with Issues,Yes,"It looks good graphically with Hi-Res turned off, but there are significant frame rate drops.",MartStartIV
Resident Evil (Deep Freeze) V0.1,USA,SLUS-00748,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Modded RE game with good performance",MartStartIV
Resident Evil (Demake) V0.1,USA,SLUS-00748,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Modded RE game with good performance",MartStartIV
Resident Evil The Prison V1.2,USA,SLUS-00748,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Modded RE game with good performance",MartStartIV
Resident Evil Survivor,PAL,SLES-02732,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Resident Evil 1 Director's Cut,PAL,SLES-00970,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Resident Evil 2 Dual Shock,PAL,SLES-01514,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Resident Evil 3,PAL,SLES-02532,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good performance, although you might experience specific FPS drops.",MartStartIV
Runabout 2,USA,SLUS-01135,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"The resolution is a bit low, but performance is good.",MartStartIV
Silent Hill,PAL,SLES-01514,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Classic game, good performance.",MartStartIV
Sled Storm,PAL,SLES-01931,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
Spider-Man,PAL,SLES-02861,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Good,Playable with Issues,Global default,"You get FPS drops there at times.",MartStartIV
Spider-Man 2 Enter Electro,PAL,SLES-03619,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Good,Playable with Issues,Global default,"You get FPS drops there at times.",MartStartIV
Spyro The Dragon,PAL,SCES-01435,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"good performance",MartStartIV
